"ASSEMBID"	"Partid"	"3dModelPart"	"Price"	"Description"	"Stock"	"PartMake"	"CompatibleParts"
1	14253646	"intake"	$284.00	"Air Intake Assembly"	100	""	"54365423, 53212523"
1	53623415	"dampener"	$44.20	"Dampner Pulley"	200	""	"63412352, 63415263"
1	34623542	"headcvr"	$142.20	"Engine Head Covers - V6 4 liter"	10	""	"NONE"
1	23562363	"heads"	$320.00	"Engine Heads (left + right) -V6 4 liter"	10	""	"NONE"
1	63408926	"block"	$1400.00	"Engine Block - V6 4 liter"	10	""	"NONE"
1	98075231	"pan"	$152.00	"Oil pan - V6 4 liter"	10	""	"NONE"
1	89362362	"altenatr"	$245.00	"Alternator"	30	""	"87926309, 89346246, 63426390"
1	62308623	"pulleys"	$26.00	"Fan belt pulley"	15	""	"78726234, 26346235, 34634522"
1	62086347	"tranny"	$951.00	"Manual Transmission  V6 4Liter"	15	""	"89206263"
1	62398525	"manifold"	$450.00	"Manifold - V6 4 Liter"	10	""	"NONE"
1	23563390	"manifoldt"	$80.00	"Manifold cover - V6 4 Liter"	10	""	"NONE"
1	90797523	"altparts"	$52.00	"Alternator Assembly"	30	""	"68946232, 23523623, 23526236"
1	52086923	"fanbelts"	$10.00	"Fan Belt"	40	""	"23569793, 20867943, 35086934"
1	95286094	"pipes1"	$205.00	"Exhaust pipes -a side"	30	""	"23098532, 97087463"
1	95286095	"pipes2"	$205.00	"Exhaust pipes -b side"	32	""	"98347823, 86934623"
1	98467932 	"cap"	$25.00	"Distributor Cap"	35	""	"87923523, 98989285, 87878346, 98923511"
1	99809934	"advance"	$95.00	"Advance"	14	""	"87925623, 69346892"
1	98923581	"distribu"	$88.00	"Distributor"	15	""	"98384982, 77677634"
1	55523552	"tcover"	$188.00	"Pulley Assembly"	10	""	"NONE"
1	99808362	"wpump"	$288.00	"Water Pump"	30	""	"98053523, 45386342, 87363235, 23586346"
1	12314151	"black"	$40.00	"Manifold Caps"	0	""	"NONE"
